date,close,volume,open,high,low,symbol
2023-04-04,287.18,25824300,287.23,290.4499,285.67,MSFT
2023-04-03,287.23,24883340,286.52,288.27,283.95,MSFT
2023-03-31,288.3,32765980,283.73,289.27,283.0,MSFT
2023-03-30,284.05,25053410,284.23,284.46,281.48,MSFT
2023-03-29,280.51,25087030,278.96,281.1398,278.41,MSFT
2023-03-28,275.23,21878650,275.79,276.14,272.0451,MSFT
2023-03-27,276.38,26840210,280.5,281.4589,275.52,MSFT
2023-03-24,280.57,28199960,277.24,280.63,275.28,MSFT
2023-03-23,277.66,36610880,277.94,281.06,275.2,MSFT
2023-03-22,272.29,34873330,273.4,281.04,272.18,MSFT
2023-03-21,273.78,34558700,274.88,275.0,269.5191,MSFT
2023-03-20,272.23,43466650,276.98,277.48,269.85,MSFT
2023-03-17,279.43,69527370,278.26,283.33,276.3201,MSFT
2023-03-16,276.2,54832140,265.205,276.56,263.28,MSFT
2023-03-15,265.44,46028050,259.98,266.48,259.21,MSFT
2023-03-14,260.79,33620290,256.75,261.07,255.86,MSFT
2023-03-13,253.92,33339720,247.4,257.91,245.73,MSFT
2023-03-10,248.59,28333930,251.08,252.79,247.6,MSFT
2023-03-09,252.32,26653390,255.82,259.56,251.58,MSFT
2023-03-08,253.7,17340220,254.04,254.5417,250.81,MSFT
2023-03-07,254.15,21473180,256.3,257.69,253.39,MSFT
2023-03-06,256.87,24109850,256.425,260.12,255.98,MSFT
2023-03-03,255.29,30760140,252.19,255.62,251.39,MSFT
2023-03-02,251.11,24833650,246.55,251.4,245.61,MSFT
2023-03-01,246.27,27565260,250.76,250.93,245.79,MSFT
2023-02-28,249.42,22490950,249.07,251.49,248.73,MSFT
2023-02-27,250.16,21190040,252.46,252.82,249.39,MSFT
2023-02-24,249.22,24990910,249.96,251.0,248.1,MSFT
2023-02-23,254.77,29219100,255.56,256.84,250.48,MSFT
2023-02-22,251.51,22491060,254.09,254.34,250.34,MSFT
2023-02-21,252.67,28397440,254.48,255.49,251.59,MSFT
2023-02-17,258.06,30000060,259.39,260.09,256.0,MSFT
2023-02-16,262.15,29603620,264.02,266.74,261.9,MSFT
2023-02-15,269.32,28962160,268.32,270.73,266.18,MSFT
